OlinkID;AssayType;UniProt;Assay;Panel;Block;DataAnalysisRefID;BimodalDistribution;LODNPX;LODCount;LODMethod;Version
OID50004;assay;P24385;CCND1;Reveal;1;R10001;FALSE;-0.164366770669832;2154;lod_npx;10.0.0
OID50005;assay;Q8N2Z9;CENPS;Reveal;1;R10001;FALSE;-0.590656916619444;1034;lod_npx;10.0.0
OID50006;assay;P11308;ERG;Reveal;1;R10001;FALSE;-1.727214651985;658;lod_npx;10.0.0
OID50007;assay;Q9UI08;EVL;Reveal;1;R10001;FALSE;-2.79347303331592;522;lod_npx;10.0.0
OID50008;assay;Q9UH90;FBXO40;Reveal;1;R10001;FALSE;-0.0329191588042144;20978;lod_npx;10.0.0
OID50009;assay;P57764;GSDMD;Reveal;1;R10001;FALSE;-0.704753654184527;540;lod_npx;10.0.0
OID50010;assay;Q9UQL6;HDAC5;Reveal;1;R10001;FALSE;-0.498420184877594;3474;lod_npx;10.0.0
OID50011;assay;P01574;IFNB1;Reveal;1;R10001;FALSE;1.19349010264191;1524;lod_npx;10.0.0
OID50012;assay;K9M1U5;IFNL4;Reveal;1;R10001;FALSE;-3.07556286505043;1224;lod_npx;10.0.0
OID50013;assay;Q14626;IL11RA;Reveal;1;R10001;FALSE;-0.277050410933617;946;lod_npx;10.0.0
OID50014;assay;Q5VVH5;IRAK1BP1;Reveal;1;R10001;FALSE;-1.81581616725703;454;lod_npx;10.0.0
OID50017;assay;Q08493;PDE4C;Reveal;1;R10001;FALSE;2.21872846995318;1974;lod_npx;10.0.0
OID50018;assay;A5LHX3;PSMB11;Reveal;1;R10001;FALSE;-2.68473125461573;640;lod_npx;10.0.0
OID50019;assay;Q9Y572;RIPK3;Reveal;1;R10001;FALSE;-3.21218471385293;242;lod_count;10.0.0
OID50020;assay;Q8IUD6;RNF135;Reveal;1;R10001;FALSE;-0.244324715002782;4784;lod_npx;10.0.0
OID50021;assay;P62987;UBA52;Reveal;1;R10001;FALSE;0.245385991087898;3258;lod_npx;10.0.0
OID50022;assay;Q96LR5;UBE2E2;Reveal;1;R10001;FALSE;-0.00161639228524757;1668;lod_npx;10.0.0
OID50023;assay;P08319;ADH4;Reveal;1;R10001;FALSE;-4.18830139474999;1568;lod_npx;10.0.0
OID50024;assay;O43823;AKAP8;Reveal;1;R10001;FALSE;0.0383886330283632;290;lod_count;10.0.0
OID50025;assay;Q9UM73;ALK;Reveal;1;R10001;FALSE;0.340581263963187;4560;lod_npx;10.0.0
OID50026;assay;Q92974;ARHGEF2;Reveal;1;R10001;FALSE;-0.418236293135216;2024;lod_npx;10.0.0
OID50027;assay;P18846;ATF1;Reveal;1;R10001;FALSE;1.12227360695607;2772;lod_npx;10.0.0
OID50028;assay;P61421;ATP6V0D1;Reveal;1;R10001;FALSE;-2.8818412340282;1008;lod_npx;10.0.0
OID50029;assay;P56817;BACE1;Reveal;1;R10001;FALSE;-3.1046426466403;182;lod_count;10.0.0
OID50030;assay;Q6UXG8;BTNL9;Reveal;1;R10001;FALSE;-2.11635316167714;11070;lod_npx;10.0.0
OID50031;assay;Q49A92;C8orf34;Reveal;1;R10001;FALSE;0.804620774500023;5324;lod_npx;10.0.0
OID50032;assay;A8K4G0;CD300LB;Reveal;1;R10001;FALSE;-0.246410419085374;2108;lod_npx;10.0.0
OID50033;assay;P17676;CEBPB;Reveal;1;R10001;FALSE;-0.509484491708507;2846;lod_npx;10.0.0
OID50034;assay;P20309;CHRM3;Reveal;1;R10001;FALSE;-0.959547578457522;1968;lod_npx;10.0.0
OID50035;assay;Q9Y4C5;CHST2;Reveal;1;R10001;FALSE;0.4917483157533;13350;lod_npx;10.0.0
OID50037;assay;P09496;CLTA;Reveal;1;R10001;FALSE;0.402062043534223;6494;lod_npx;10.0.0
OID50038;assay;Q9NQC7;CYLD;Reveal;1;R10001;FALSE;-0.378701986133716;2732;lod_npx;10.0.0
OID50039;assay;Q9NR30;DDX21;Reveal;1;R10001;FALSE;-0.196594571057171;2314;lod_npx;10.0.0
OID50040;assay;Q8IY21;DDX60;Reveal;1;R10001;FALSE;1.3458410589838;10768;lod_npx;10.0.0
OID50041;assay;Q9H2U1;DHX36;Reveal;1;R10001;FALSE;-0.146750711555797;962;lod_npx;10.0.0
OID50042;assay;Q13409;DYNC1I2;Reveal;1;R10001;FALSE;-0.315378493597659;1124;lod_npx;10.0.0
OID50043;assay;Q9BQ95;ECSIT;Reveal;1;R10001;FALSE;-1.09658226726985;1308;lod_npx;10.0.0
OID50044;assay;P24530;EDNRB;Reveal;1;R10001;FALSE;-0.618182639605564;4732;lod_npx;10.0.0
OID50045;assay;P17677;GAP43;Reveal;1;R10001;FALSE;-0.41346426528405;3280;lod_npx;10.0.0
OID50046;assay;Q9H0R5;GBP3;Reveal;1;R10001;FALSE;0.518757389872987;9630;lod_npx;10.0.0
OID50047;assay;P35367;HRH1;Reveal;1;R10001;FALSE;-0.277457443582112;2104;lod_npx;10.0.0
OID50048;assay;P06239;LCK;Reveal;1;R10001;FALSE;-1.06987542543956;978;lod_npx;10.0.0
OID50049;assay;P29376;LTK;Reveal;1;R10001;FALSE;-0.488035960541534;4454;lod_npx;10.0.0
OID50050;assay;Q9Y5Q3;MAFB;Reveal;1;R10001;FALSE;-0.689129040712982;450;lod_npx;10.0.0
OID50051;assay;Q9BPZ7;MAPKAP1;Reveal;1;R10001;FALSE;0.39241887743265;3940;lod_npx;10.0.0
OID50052;assay;Q06413;MEF2C;Reveal;1;R10001;FALSE;-0.739044290054396;884;lod_npx;10.0.0
OID50053;assay;Q13126;MTAP;Reveal;1;R10001;FALSE;0.203246019151239;4932;lod_npx;10.0.0
OID50054;assay;Q12965;MYO1E;Reveal;1;R10001;FALSE;3.4619456938735;2260;lod_npx;10.0.0
OID50055;assay;Q6ZNJ1;NBEAL2;Reveal;1;R10001;FALSE;3.7013411691555;16426;lod_npx;10.0.0
OID50056;assay;A8MVU1_P14598;NCF1C_NCF1;Reveal;1;R10001;FALSE;-6.49692972885279;9974;lod_npx;10.0.0
OID50057;assay;O14931;NCR3;Reveal;1;R10001;FALSE;-0.98758628272274;1608;lod_npx;10.0.0
OID50059;assay;P12004;PCNA;Reveal;1;R10001;FALSE;0.738966855951128;5128;lod_npx;10.0.0
OID50060;assay;P19174;PLCG1;Reveal;1;R10001;FALSE;0.234376920959225;2958;lod_npx;10.0.0
OID50061;assay;O60260;PRKN;Reveal;1;R10001;FALSE;0.321697526275683;2082;lod_npx;10.0.0
OID50062;assay;Q06124;PTPN11;Reveal;1;R10001;FALSE;-2.55534485382701;1478;lod_npx;10.0.0
OID50063;assay;Q15678;PTPN14;Reveal;1;R10001;FALSE;-0.807016797267325;284;lod_count;10.0.0
OID50064;assay;Q63HN8;RNF213;Reveal;1;R10001;FALSE;-1.31446132030554;1406;lod_npx;10.0.0
OID50065;assay;P34925;RYK;Reveal;1;R10001;FALSE;-2.3860083792233;948;lod_npx;10.0.0
OID50066;assay;P31040;SDHA;Reveal;1;R10001;FALSE;-1.40593965901933;2164;lod_npx;10.0.0
OID50067;assay;Q5VUM1;SDHAF4;Reveal;1;R10001;FALSE;0.414439863488306;189920;lod_npx;10.0.0
OID50068;assay;P55735;SEC13;Reveal;1;R10001;FALSE;-2.13149660953581;1766;lod_npx;10.0.0
OID50069;assay;Q9BRV8;SIKE1;Reveal;1;R10001;FALSE;-1.03685544724472;25242;lod_npx;10.0.0
OID50070;assay;P51532;SMARCA4;Reveal;1;R10001;FALSE;0.234078566584454;6382;lod_npx;10.0.0
OID50071;assay;Q9HCE7;SMURF1;Reveal;1;R10001;FALSE;0.309781584741546;390;lod_npx;10.0.0
OID50072;assay;P16150;SPN;Reveal;1;R10001;FALSE;0.270362296423348;5332;lod_npx;10.0.0
OID50073;assay;Q8N1F8;STK11IP;Reveal;1;R10001;FALSE;0.173483989147301;1112;lod_npx;10.0.0
OID50074;assay;Q9UEW8;STK39;Reveal;1;R10001;FALSE;-2.1163475685753;1524;lod_npx;10.0.0
