gene,exonic_bp,mean_depth,pct_ge10x,pct_ge20x,pct_ge30x,pct_zero,callable,chrom
STXBP2,1876,48.9,99.8,96.6,80.5,0.0,yes,chr19
NLRC4,3581,39.5,89.6,86.6,76.4,5.4,partial,chr2
LYST,13480,39.6,85.4,82.8,73.3,5.5,partial,chr1
CD27,1338,40.2,89.5,82.4,73.4,0.2,partial,chr12
UNC13D,4393,36.1,85.8,78.4,66.2,3.6,partial,chr17
CD70,913,33.9,83.2,77.5,64.7,1.4,partial,chr19
PRF1,2533,35.7,81.1,76.1,69.1,7.3,partial,chr10
NLRP3,4170,39.3,79.9,76.0,68.2,8.0,partial,chr1
MEFV,3499,36.1,70.2,68.1,63.3,15.6,NO,chr16
SLC7A7,2447,36.8,69.8,68.1,64.2,15.7,NO,chr14
SLC29A3,2257,33.8,67.5,63.0,56.4,21.7,NO,chr10
AP3B1,5838,27.4,60.0,57.8,51.8,21.4,NO,chr5
STAT1,4310,29.1,56.8,55.0,50.2,35.1,NO,chr2
STX11,1926,32.2,50.5,48.9,47.6,28.8,NO,chr6
RASGRP1,5023,28.2,52.2,48.8,44.8,32.6,NO,chr15
STAT3,5047,25.4,48.5,47.1,43.1,28.6,NO,chr17
TNFRSF9,1923,21.8,50.1,46.8,40.0,40.1,NO,chr1
ITK,4528,22.6,46.5,44.5,41.2,28.8,NO,chr5
IRF8,3030,23.3,44.3,42.1,38.3,32.0,NO,chr16
CTLA4,1977,18.6,45.1,41.5,34.5,22.4,NO,chr2
ADA2,3986,22.6,41.7,40.5,38.4,40.6,NO,chr22
IL1RN,1810,16.4,38.9,35.1,31.3,29.5,NO,chr2
CDC42,2254,11.3,30.3,27.7,17.2,58.3,NO,chr1
MAGT1,4047,8.1,30.2,21.6,9.7,41.4,NO,chrX
RAB27A,3459,11.1,22.6,20.7,18.1,53.9,NO,chr15
XIAP,8591,4.1,16.5,9.4,3.1,61.8,NO,chrX
SH2D1A,2450,4.2,19.5,8.2,0.8,60.3,NO,chrX
