chrom	pos	depth
chrX	47058151	7
chrX	47058152	7
chrX	47058153	7
chrX	47058154	2
chrX	47058155	7
chrX	47058156	6
chrX	47058157	8
chrX	47058158	8
chrX	47058159	7
chrX	47058160	5
chrX	47058161	9
chrX	47058162	6
chrX	47058163	9
chrX	47058164	8
chrX	47058165	7
chrX	47058166	7
chrX	47058167	9
chrX	47058168	10
chrX	47058169	11
chrX	47058170	8
chrX	47058171	11
chrX	47058172	9
chrX	47058173	8
chrX	47058174	9
chrX	47058175	9
chrX	47058176	10
chrX	47058177	11
chrX	47058178	9
chrX	47058179	8
chrX	47058180	7
chrX	47058181	10
chrX	47058182	11
chrX	47058183	14
chrX	47058184	14
chrX	47058185	13
chrX	47058186	11
chrX	47058187	10
chrX	47058188	8
chrX	47058189	14
chrX	47058190	15
chrX	47058191	15
chrX	47058192	15
chrX	47058193	15
chrX	47058194	6
chrX	47058195	12
chrX	47058196	14
chrX	47058197	16
chrX	47058198	12
chrX	47058199	15
chrX	47058200	15
chrX	47058201	17
chrX	47058202	17
chrX	47058203	17
chrX	47058204	17
chrX	47058205	18
chrX	47058206	18
chrX	47058207	18
chrX	47058208	19
chrX	47058209	19
chrX	47058210	19
chrX	47058211	20
chrX	47058212	18
chrX	47058213	19
chrX	47058214	17
chrX	47058215	19
chrX	47058216	20
chrX	47058217	19
chrX	47058218	21
chrX	47058219	22
chrX	47058220	22
chrX	47058221	20
chrX	47058222	19
chrX	47058223	15
chrX	47058224	18
chrX	47058225	21
chrX	47058226	19
chrX	47058227	23
chrX	47058228	19
chrX	47058229	23
chrX	47058230	23
chrX	47058231	25
chrX	47058232	25
chrX	47058233	24
chrX	47058234	24
chrX	47058235	23
chrX	47058236	23
chrX	47058237	23
chrX	47058238	24
chrX	47058239	24
chrX	47058240	19
chrX	47058241	21
chrX	47058242	24
chrX	47058243	17
chrX	47058244	19
chrX	47058245	20
chrX	47058246	23
chrX	47058247	25
chrX	47058248	24
chrX	47058249	25
chrX	47058250	24
chrX	47058251	21
chrX	47058252	21
chrX	47058253	28
chrX	47058254	18
chrX	47058255	26
chrX	47058256	24
chrX	47058257	24
chrX	47058258	22
chrX	47058259	27
chrX	47058260	21
chrX	47058261	24
chrX	47058262	17
chrX	47058263	24
chrX	47058264	23
chrX	47058265	22
chrX	47058266	18
chrX	47058267	26
chrX	47058268	27
chrX	47058269	28
chrX	47058270	27
chrX	47058271	27
chrX	47058272	17
chrX	47058273	29
chrX	47058274	29
chrX	47058275	17
chrX	47058276	29
chrX	47058277	26
chrX	47058278	24
chrX	47058279	26
chrX	47058280	20
chrX	47058281	22
chrX	47058282	23
chrX	47058283	24
chrX	47058284	23
